,Date,Agas,Almas,Aminyekom,Asam,Asas,Atimes,Atlas,Bazr,Firouze,Ofogmellat
68,13981130,22477.52,49373.73,10175.94,51154.2,51664.48,64689.41,71486.77,35258.11,55765.43,41389.25
69,13981203,22402.71,49670.86,10025.8,51675.51,50737.09,63530.74,72534.18,36126.9,54924.66,41597.83
70,13981204,23320.78,51297.23,10030.81,52028.34,51651.6,66037.04,75205.88,37240.61,56874.94,43013.23
71,13981205,24313.41,51227.84,10035.81,52479.28,52299.58,67145.98,76842.21,37400.51,57895.19,43635.08
72,13981206,25878.67,52428.07,10039.82,52224.57,52739.5,69859.15,76937.52,38295.17,57809.77,45378.39
73,13981207,24691.48,53381.02,10045.82,53122.5,53353.8,71362.93,77887.61,38757.3,57497.84,46140.9
74,13981210,23229.15,50982.51,10065.84,52999.61,52033.06,68431.95,74799.55,37127.85,55846.05,44784.67
75,13981211,23835.92,52939.24,10068.84,53114.57,52558.18,69601.56,77275.62,37685.17,56053.37,44561.55
76,13981212,24192.91,53220.73,10079.85,52429.73,53196.26,71713.01,77856.51,38748.06,55979.46,44546.99
77,13981213,24339.52,54800.19,10086.86,54792.49,54165.27,73757.84,79335.32,39744.39,56869.18,45961.43
78,13981214,24677.42,55763.89,10092.86,55028.37,56457.0,75503.3,80366.68,40782.32,59189.95,47979.28
79,13981217,24586.8,55231.22,10100.87,54986.75,57287.29,74652.94,80377.72,40782.32,59162.11,48112.19
80,13981219,23419.94,52793.61,10119.89,51761.73,54061.23,71481.28,76222.19,38593.71,56531.34,47286.62
81,13981220,22569.15,50772.37,10122.89,51215.64,52336.24,70399.2,72834.15,38155.61,57160.96,46355.3
82,13981221,23907.97,50772.37,10128.9,52524.87,54577.44,72294.83,75904.15,38452.3,57934.55,45598.6
83,13981224,22537.27,50772.37,10150.91,52471.36,51233.48,70423.06,71455.67,37086.26,56591.81,44402.45
84,13981225,22144.89,49823.33,10184.94,50104.63,49385.63,68489.63,70016.98,36114.88,55279.78,44152.15
85,13981226,23337.6,51256.18,10065.84,51809.31,53204.19,70359.41,74547.73,37406.05,57094.73,44367.52
86,13981227,22875.93,50701.02,10118.89,50752.8,53134.83,69112.23,73290.64,37613.08,56770.33,43961.04
87,13981228,23214.84,50596.44,10146.91,51660.64,53538.09,71173.96,74786.51,38319.21,57941.26,43297.48
