<CLOSE>,<COL14>
188131.00,14000111
186601.00,14000114
182604.00,14000115
184070.00,14000116
183866.00,14000117
182074.00,14000118
179345.00,14000121
178544.00,14000122
178286.00,14000123
183631.00,14000124
181126.00,14000125
177462.00,14000128
176942.00,14000129
177553.00,14000130
177620.00,14000131
176599.00,14000201
176076.00,14000204
175075.00,14000205
175541.00,14000206
177863.00,14000207
178076.00,14000208
176913.00,14000211
174786.00,14000212
173993.00,14000213
174288.00,14000215
174064.00,14000218
172017.00,14000219
172153.00,14000220
173629.00,14000221
172254.00,14000222
171867.00,14000225
172313.00,14000226
170723.00,14000227
174853.00,14000228
170765.00,14000229
169148.00,14000301
167022.00,14000302
164237.00,14000303
166204.00,14000304
166921.00,14000305
169549.00,14000308
169479.00,14000309
165394.00,14000310
165329.00,14000311
167496.00,14000312
169078.00,14000317
168839.00,14000318
167437.00,14000319
166902.00,14000322
166008.00,14000323
166284.00,14000324
165649.00,14000325
165509.00,14000326
165918.00,14000329
165644.00,14000330
165302.00,14000331
165978.00,14000401
167892.00,14000402
171618.00,14000405
171652.00,14000406
172965.00,14000407
174195.00,14000408
174759.00,14000409
